address|city_state_zip|latitude|longitude
20512 RESERVE FALLS TER|STERLING, VA 20165|39.0439922|-77.4201004
550 12TH ST SW|WASHINGTON, DC 20024|38.883385|-77.02767399999999
1851 9TH ST NW|WASHINGTON, DC 20001|38.915356|-77.023648
619 H ST NW|Washington, DC 20001|38.9001189|-77.02082399999999
1514 NORTH CAPITOL ST NW|WASHINGTON, DC 20001|38.91011659999999|-77.0092856
928 U ST NW|WASHINGTON, DC 20001|38.91682100000001|-77.025013
1227 11TH ST NW|WASHINGTON, DC 20001|38.90660099999999|-77.026676
1841 14TH ST NW|Washington, DC 20009|38.915275|-77.031671
1131 14TH ST NW|Washington, DC 20005|38.9046225|-77.03179349999999
601 F ST NW SPC 106|Washington, DC 20001|38.8980058|-77.0210022
1125 NEW JERSEY AVE NW|WASHINGTON, DC 20001|38.9045844|-77.01416689999999
783 7th ST NW|WASHINGTON, DC 20001|38.8996304|-77.02191800000001
608 T ST NW|Washington, DC 20001|38.9154241|-77.0205257
918 F ST NW|WASHINGTON, DC 20004|38.896999|-77.02490499999999
1526 NEW HAMPSHIRE AVE NW|Washington, DC 20036|38.910897|-77.042695
1532 U ST NW|Washington, DC 20009|38.916744|-77.03581299999999
1336 14TH ST NW|WASHINGTON, DC 20005|38.908422|-77.032369
1315 14TH ST NW|Washington, DC 20005|38.9078|-77.03156899999999
1825 CONNECTICUT AVE NW|Washington, DC 20009|38.915173|-77.045632
1025 VERMONT AVE NW|Washington, DC 20005|38.9034595|-77.033126
304 CARROLL ST NW|Washington, DC 20012|38.974686|-77.0165899
2321 18TH ST NW|WASHINGTON, DC 20009|38.9202759|-77.04154260000001
1811 14TH ST NW|Washington, DC 20009|38.914528|-77.0317664
1449 HOWARD RD SE|Washington, DC 20020|38.8586568|-76.98774499999999
1630 14TH ST NW|WASHINGTON, DC 20009|38.9122469|-77.0323817
1304 NORTH CAPITOL ST NW|Washington, DC 20001|38.90759|-77.009456
3500 Woodley RD NW|WASHINGTON, DC 20016|38.9314698|-77.06864490000001
2001 11TH ST NW|Washington, DC 20009|38.917152|-77.026729
2442 18TH ST NW|Washington, DC 20009|38.9218053|-77.0427231
1803 CONNECTICUT AVE NW|Washington, DC 20009|38.914333|-77.04575799999999
1819 COLUMBIA RD NW|Washington, DC 20009|38.921897|-77.043671
3583 WARDER ST NW|Washington, DC 20001|38.934875|-77.020757
1 1ST ST NE|Washington, DC 20543|38.890358|-77.00464099999999
425 7TH ST NW|Washington, DC 20001|38.8956908|-77.0216755
2505 CHAMPLAIN ST NW|Washington, DC 20009|38.923303|-77.04115800000001
1917 18TH ST NW|Washington, DC 20009|38.916073|-77.041381
1346 T ST NW|Washington, DC 20009|38.9153499|-77.03155
2401 PENNSYLVANIA AVE NW|Washington, DC 20037|38.903489|-77.0521412
1203 28TH ST NW|Washington, DC 20009|38.9054526|-77.0568658
1704 Connecticut AVE NW|WASHINGTON, DC 20009|38.912876|-77.045727
1834 COLUMBIA RD NW|Washington, DC 20009|38.9217357|-77.04313599999999
1506 19TH ST NW|WASHINGTON, DC 20036|38.9106244|-77.0436483
425 2ND ST NW|Washington, DC 20001|38.895446|-77.01323599999999
405 HOWARD PL NW|WASHINGTON, DC 20009|38.9228108|-77.01846909999999
