address|city_state_zip|latitude|longitude
1429 GOOD HOPE RD SE|WASHINGTON, DC 20020|38.86635|-76.984313
1350 GOOD HOPE RD SE|Washington, DC 20020|38.8670649|-76.9853679
2201 G ST NW|Washington, DC 20052|38.898958|-77.04895239999999
800 21ST ST NW|Washington, DC 20052|38.9000114|-77.0470546
2130 H ST NW|WASHINGTON, DC 20052|38.8992933|-77.04843
825 20TH ST NW|Washington, DC 20052|38.9010743|-77.0447981
2134 PENNSYLVANIA AVE NW|Washington, DC 20052|38.901421|-77.048081
616 23RD ST NW|Washington, DC 20052|38.8979008|-77.05031149999999
2100 FOXHALL RD NW|Washington, DC 20052|38.917879|-77.09129399999999
1521 GOOD HOPE RD SE|Washington, DC 20020|38.866048|-76.982597
1957 E ST NW|Washington, DC 20052|38.8962277|-77.0439573
515 20TH ST NW|WASHINGTON, DC 20052|38.8961157|-77.04489269999999
2041 MARTIN LUTHER KING JR AVE SE|Washington, DC 20020|38.86602329999999|-76.9895253
2801 ALABAMA RD SE|Washington, DC 20020|38.859758|-76.96780300000002
2028 MARTIN LUTHER KING JR AVE SE|Washington, DC 20020|38.8657929|-76.989093
320 21ST ST NW|Washington, DC 20052|38.8947845|-77.0466908
3011 MARTIN LUTHER KING JR AVE SE|Washington, DC 20020|38.84446700000001|-76.99834899999999
701 HOWARD RD SE|WASHINGTON, DC 20020|38.863988|-76.998926
2405 MARTIN LUTHER KING JR AVE SE|WASHINGTON, DC 20020|38.862824|-76.99275
1736 GOOD HOPE RD SE|Washington, DC 20020|38.86602|-76.97944799999999
1800 MARTIN LUTHER KING AVE SE|WASHINGTON, DC 20020|38.867568|-76.988047
3201 PENNSYLVANIA AVE SE|WASHINGTON, DC 20020|38.868675|-76.959886
513 CAPTIOL CT NE STE 200|WASHINGTON, DC 20002|38.896771|-77.00265759999999
1325 2ND ST NE|WASHINGTON, DC 20002|38.907806|-77.003084
50 MASSACHUSETTS AVE NE SPC 218|WASHINGTON, DC 20002|38.8975799|-77.0061578
1525 ALABAMA AVE SE|Washington, DC 20020|38.846149|-76.9828498
908 17TH ST NW|WASHINGTON, DC 20006|38.9018966|-77.0396303
