address|city_state_zip|latitude|longitude
2130 P ST NW|Washington, DC 20037|38.909481|-77.0484401
2130 G ST NW|WASHINGTON, DC 20037|38.898038|-77.0480413
1 WASHINGTON CIR NW|Washington, DC 20037|38.903456|-77.049643
2525 PENNSYLVANIA AVE NW|WASHINGTON, DC 20037|38.904205|-77.05390299999999
538 23RD ST NW|Washington, DC 20037|38.8962447|-77.0501316
2150 P ST NW|Washington, DC 20037|38.9094846|-77.04856380000001
2123 E ST NW|Washington, DC 20037|38.896411|-77.047726
2131 K ST NW|WASHINGTON, DC 20037|38.902928|-77.047664
2159 P ST NW|Washington, DC 20037|38.90983|-77.04852000000001
1170 22ND ST NW|Washington, DC 20037|38.9047693|-77.0489554
725 24TH ST NW|Washington, DC 20037|38.898864|-77.051053
2517 PENNSYLVANIA AVE NW|Washington, DC 20037|38.904156|-77.05376199999999
2400 M ST NW|Washington, DC 20037|38.9051316|-77.0515171
2238 M ST NW|Washington, DC 20037|38.9052401|-77.0495076
2430 PENNSYLVANIA AVE NW|Washington, DC 20037|38.902927|-77.05279399999999
2100 PENNSYLVANIA AVE NW|WASHINGTON, DC 20037|38.901074|-77.047252
1177 22ND ST NW|WASHINGTON, DC 20037|38.904727|-77.048407
2512 L ST NW|Washington, DC 20037|38.9035|-77.053916
2401 E ST NW|WASHINGTON, DC 20037|38.8961658|-77.0516628
1150 22ND ST NW|Washington, DC 20037|38.9045289|-77.0489624
