address|city_state_zip|latitude|longitude
1101 15TH ST NW|WASHINGTON, DC 20005|38.904099|-77.03415
1721 7TH ST NW|Washington, DC 20001|38.9135402|-77.0219047
1101 PENNSYLVANIA AVE NW|Washington, DC 20004|38.8949971|-77.0273813
1541 14TH ST NW|WASHINGTON, DC 20005|38.910967|-77.031618
3568 14TH ST NW|Washington, DC 20009|38.936221|-77.03302699999999
2461 18th ST NW|WASHINGTON, DC 20009|38.9221514|-77.0422881
1792 COLUMBIA RD NW|Washington, DC 20009|38.922655|-77.042312
2406 18TH ST NW|WASHINGTON, DC 20009|38.92102300000001|-77.0421899
1338 U ST NW|Washington, DC 20009|38.9168867|-77.031094
2008 18TH ST NW|Washington, DC 20009|38.917169|-77.0418733
1800 F ST NW|Washington, DC 20405|38.8972023|-77.0425649
2341 18TH ST NW|Washington, DC 20009|38.9207051|-77.0416911
4656 WISCONSIN AVE NW|Washington, DC 20016|38.9509402|-77.080848
6008 GEORGIA AVE NW|WASHINGTON, DC 20011|38.962848|-77.028238
6100 16TH ST NW|Washington, DC 20011|38.9648255|-77.0364488
3421 M ST NW|WASHINGTON, DC 20007|38.905257|-77.068392
1700 K ST NW|Washington, DC 20006|38.9022363|-77.04011369999999
4400 MASSACHUESETTES AVE NW|Washington, DC 20001|38.9392871|-77.0871844
1721 WISCONSIN AVE NW|Washington, DC 20007|38.9143849|-77.0669137
1045 5TH ST NW|WASHINGTON, DC 20001|38.9031339|-77.018778
777 I ST NW|WASHINGTON, DC 20001|38.9008839|-77.022708
2921 GEORGIA AVE NW|Washington, DC 20001|38.928011|-77.02277699999999
600 F ST NW|WASHINGTON, DC 20001|38.9190481|-77.020072
2901 SHERMAN AVE NW|Washington, DC 20001|38.926981|-77.025674
2915 CONNECTICUT AVE NW|WASHINGTON, DC 20008|38.928671|-77.0539639
3295 M ST NW|WASHINGTON, DC 20008|38.90523049999999|-77.0658733
3000 CONNECTICUT AVE NW|Washington, DC 20008|38.92987|-77.0555995
4250 CONNECTICUT AVE NW|Washington, DC 20008|38.9449222|-77.0646762
420 RHODE ISLAND AVE NW|Washington, DC 20001|38.913426|-77.018012
649 NEW YORK AVE NW|WASHINGTON, DC 20001|38.903365|-77.02132999999999
827 7TH ST NW|Washington, DC 20001|38.900543|-77.021635
2621 CONNECTICUT AVE NW|Washington, DC 20008|38.9241289|-77.05168139999999
3133 CONNECTICUT AVE NW|WASHINGTON, DC 20008|38.931927|-77.055606
3315 CONNECTICUT AVE NW|Washington, DC 20008|38.934014|-77.057152
2500 VIRGINIA AVE NW|Washington, DC 20008|38.899061|-77.055115
453 K ST NW|WASHINGTON, DC 20001|38.9025332|-77.0176506
3520 CONNECTICUT AVE NW|Washington, DC 20008|38.936147|-77.05939599999999
911 E ST NW|Washington, DC 20001|38.8964799|-77.024772
500 H ST NW|Washington, DC 20001|38.899475|-77.019232
1909 9TH ST NW|Washington, DC 20001|38.916049|-77.02365499999999
505 H ST NW|WASHINGTON, DC 20001|38.900042|-77.019179
1800 M ST NW|Washington, DC 20001|38.9054228|-77.04203129999999
819 7TH ST NW|Washington, DC 20001|38.9004536|-77.02176450000002
2101 ALABAMA AVE SE|WASHINGTON, DC 20020|38.850368|-76.975009
1219 9TH ST NW|Washington, DC 20001|38.9063276|-77.0237903
3414 CONNECTICUT AVE NW|Washington, DC 20008|38.934722|-77.05839800000001
2801 ALABAMA RD SE|Washington, DC 20020|38.859758|-76.96780300000002
817 7TH ST NW|Washington, DC 20001|38.900318|-77.021591
2333 18TH ST NW|Washington, DC 20009|38.9204956|-77.0416185
701 PENNSYLVANIA AVE NW|Washington, DC 20001|38.8942311|-77.0234782
80 F ST NW|Washington, DC 20001|38.8970838|-77.0107859
2025 E ST NW|Washington, DC 20001|38.89616789999999|-77.04583400000001
2015 MASSACHUSETTS AVE NW|Washington, DC 20008|38.9108001|-77.0456861
714 7TH ST NW|Washington, DC 20001|38.899001|-77.02222300000001
507 H ST NW|Washington, DC 20001|38.900042|-77.019256
71 O ST NW|Washington, DC 20001|38.908879|-77.01135099999999
2001 10TH ST NW|WASHINGTON, DC 20001|38.91768460000001|-77.0251664
520 FLORIDA AVE NW|Washington, DC 20001|38.915121|-77.01957
900 U ST NW|Washington, DC 20001|38.9168222|-77.0243019
1510 9TH ST NW|Washington, DC 20001|38.910284|-77.024327
919 5TH ST NW|WASHINGTON, DC 20001|38.901921|-77.018613
3715 GEORGIA AVE NW|Washington, DC 20001|38.9372398|-77.0242214
1100 MAINE AVE SW|Washington, DC 20024|38.8809629|-77.0283309
601 D ST NW|Washington, DC 20001|38.8948085|-77.02048049999999
1050 17TH ST NW|Washington, DC 20036|38.903339|-77.038838
703 7TH ST NW|Washington, DC 20001|38.8990104|-77.0217862
325 7TH ST NW|Washington, DC 20001|38.894562|-77.0215039
800 7TH ST NW|Washington, DC 20001|38.90000089999999|-77.0220605
500 NEW JERSEY AVE NW|Washington, DC 20001|38.89664|-77.011904
801 F ST NW|Washington, DC 20001|38.9008692|-77.02299579999999
1748 7TH ST NW|Washington, DC 20001|38.913933|-77.02221899999999
1299 PENNSYLVANIA AVE NW|Washington, DC 20004|38.8963176|-77.02951019999999
1100 17TH ST NW|Washington, DC 20036|38.904043|-77.03880699999999
3415 CONNECTICUT AVE NW|Washington, DC 20036|38.9347825|-77.05802849999999
