address|city_state_zip|latitude|longitude
6912 4TH ST NW|WASHINGTON, DC 20012|38.974138|-77.018371
6404 GEORGIA AVE NW|Washington, DC 20012|38.967794|-77.027828
1206 UNDERWOOD ST NW|Washington, DC 20012|38.968775|-77.02782599999999
1608 7th ST NW|Washington, DC 20001|38.911495|-77.022234
2600 14TH ST NW|Washington, DC 20009|38.923853|-77.03251499999999
1325 W ST NW|WASHINGTON, DC 20009|38.919196|-77.0301803
2335 18TH ST NW|Washington, DC 20009|38.920513|-77.0418169
1401 COLUMBIA RD NW|WASHINGTON, DC 20009|38.9277042|-77.0329203
1900 WYOMING AVE NW|Washington, DC 20009|38.918442|-77.044777
2122 18TH ST NW|WASHINGTON, DC 20009|38.918593|-77.04191070000002
2210 14TH ST NW|Washington, DC 20009|38.9195909|-77.032355
1324 U ST NW|Washington, DC 20009|38.9169924|-77.0306756
1301 U ST NW UNIT 113|WASHINGTON, DC 20009|38.917321|-77.030452
1212 U ST NW|Washington, DC 20009|38.916738|-77.028581
1830 14TH ST NW|WASHINGTON, DC 20009|38.915139|-77.03236299999999
2175 K ST NW|Washington, DC 20009|38.9027111|-77.0486411
1401 R ST NW|WASHINGTON, DC 20009|38.9126176|-77.032696
1825 18TH ST NW|Washington, DC 20009|38.915034|-77.041386
1622 14TH ST NW|WASHINGTON, DC 20009|38.9120762|-77.0323785
1213 U ST NW|Washington, DC 20009|38.917324|-77.028775
1507 U ST NW|Washington, DC 20009|38.917268|-77.03502499999999
1201 16TH ST NW|Washington, DC 20036|38.9061359|-77.035949
1718 CONNECTICUT AVE NW|Washington, DC 20009|38.913179|-77.0457873
2420 18TH ST NW|WASHINGTON, DC 20009|38.921285|-77.0425209
1201 MARYLAND AVE SW|WASHINGTON, DC 20024|38.8844533|-77.0294728
1738 CONNETICUT AVE NW|WASHINGTON, DC 20009|38.9132276|-77.0458663
1931 14TH ST NW|WASHINGTON, DC 20009|38.9166809|-77.031573
1723 CONNECTICUT AVE NW|WASHINGTON, DC 20009|38.91335300000001|-77.045169
2003 18TH ST NW|WASHINGTON, DC 20009|38.917293|-77.041383
2006 18TH ST NW|Washington, DC 20009|38.9172643|-77.0418649
1346 FLORIDA AVE NW|WASHINGTON, DC 20009|38.920125|-77.03104429999999
1771 Columbia RD NW|WASHINGTON, DC 20009|38.923592|-77.041994
2021 14TH ST NW|Washington, DC 20009|38.91799200000001|-77.031863
1847 14TH ST NW|WASHINGTON, DC 20009|38.91542099999999|-77.031671
1506 U ST NW|Washington, DC 20009|38.9169904|-77.0349477
1100 Harvard ST NW|WASHINGTON, DC 20009|38.926565|-77.027464
1014 VERMONT AVE NW|Washington, DC 20005|38.9030095|-77.0335303
2106 18TH ST NW|Washington, DC 20009|38.918124|-77.04192499999999
1624 U ST NW|Washington, DC 20009|38.916851|-77.03793329999999
1723 COLUMBIA RD NW|Washington, DC 20009|38.924735|-77.04008499999999
1717 COLUMBIA RD NW|Washington, DC 20009|38.9247231|-77.0398065
1601 CONNECTICUT AVE NW|Washington, DC 20009|38.9112428|-77.0441281
2327 18TH ST NW|WASHINGTON, DC 20009|38.9204355|-77.0415976
1731 CONNECTICUT AVE NW|Washington, DC 20009|38.9133304|-77.0456427
2439 18th ST NW|WASHINGTON, DC 20009|38.9215314|-77.0419737
2750 14TH ST NW|Washington, DC 20009|38.925191|-77.032704
1805 14TH ST NW|Washington, DC 20009|38.9143619|-77.03158599999999
1900 CONNECTICUT AVE NW|Washington, DC 20009|38.915994|-77.04688999999999
1322 U ST NW|Washington, DC 20009|38.9169918|-77.0306142
2409 18th ST NW|WASHINGTON, DC 20009|38.9208395|-77.04173790000002
2204 18TH ST NW|WASHINGTON, DC 20009|38.9189171|-77.041691
1737 COLUMBIA RD NW|Washington, DC 20009|38.9242817|-77.0405196
1771 U ST NW|WASHINGTON, DC 20009|38.9170017|-77.04142949999999
1610 20TH ST NW|Washington, DC 20009|38.9116133|-77.0449697
1412 U ST NW|Washington, DC 20009|38.9168961|-77.03244049999999
1514 U ST NW UNIT B|WASHINGTON, DC 20009|38.916745|-77.035262
1342 U ST NW|Washington, DC 20009|38.916737|-77.031239
2001 18TH ST NW|Washington, DC 20009|38.9171341|-77.0414885
2473 18TH ST NW|Washington, DC 20009|38.9222686|-77.04229099999999
1800 14TH ST NW|WASHINGTON, DC 20009|38.9141288|-77.03197209999999
6204 GEORGIA AVE NW|Washington, DC 20001|38.965197|-77.02797699999999
3209 Mount Pleasant ST NW|WASHINGTON, DC 20009|38.931484|-77.03818299999999
1778 U ST NW|Washington, DC 20009|38.91673300000001|-77.041218
2004 18th ST NW|WASHINGTON, DC 20009|38.9172042|-77.04181969999999
1807 18TH ST NW|Washington, DC 20009|38.91434900000001|-77.041437
999 9TH ST NW FL 3|Washington, DC 20001|38.912068|-77.0190228
3068 MOUNT PLEASANT ST NW|Washington, DC 20009|38.9285433|-77.0374018
2121 14TH ST NW|Washington, DC 20009|38.9182415|-77.03165609999999
2116 18TH ST NW|Washington, DC 20009|38.9184266|-77.04193289999999
1819 14TH ST NW|WASHINGTON, DC 20009|38.914694|-77.03155
1826 COLUMBIA RD NW|Washington, DC 20009|38.9219458|-77.0430938
1785 FLORIDA AVE NW|Washington, DC 20009|38.9171397|-77.04127199999999
1400 W ST NW|WASHINGTON, DC 20009|38.919018|-77.032358
1909 Q ST NW|Washington, DC 20009|38.9111436|-77.0439095
3100 14TH ST NW|WASHINGTON, DC 20009|38.9295547|-77.0331896
1645 CONNECTICUT AVE NW|WASHINGTON, DC 20009|38.912385|-77.044549
1745 CONNECTICUT AVE NW|Washington, DC 20009|38.913889|-77.045474
1200 CLIFTON ST NW|WASHINGTON, DC 20009|38.9224187|-77.0280509
625 INDIANA AVE NW|Washington, DC 20004|38.894568|-77.020712
1901 NEW HAMPSHIRE AVE NW|Washington, DC 20009|38.915747|-77.03738
1200 S ST NW|WASHINGTON, DC 20009|38.9140263|-77.02950609999999
2001 S ST NW|WASHINGTON, DC 20009|38.9143011|-77.0452019
2325 18TH ST NW|Washington, DC 20009|38.9203821|-77.041579
2438 18TH ST NW|Washington, DC 20009|38.92162769999999|-77.0427011
3050 K ST NW|Washington, DC 20009|38.902219|-77.06056199999999
2525 17TH ST NW|WASHINGTON, DC 20009|38.923795|-77.03841299999999
2120 18TH ST NW|Washington, DC 20009|38.9185381|-77.0419072
2005 14TH ST|WASHINGTON, DC 20009|38.917259|-77.031583
3102 MOUNT PLEASANT ST NW|Washington, DC 20009|38.9290108|-77.03759579999999
1361 Connecticut AVE NW|WASHINGTON, DC 20009|38.9087892|-77.0427888
3151 K ST NW|Washington, DC 20009|38.9027214|-77.06192670000001
2216 18TH ST NW|Washington, DC 20009|38.919255|-77.04188599999999
1704 U ST NW|WASHINGTON, DC 20009|38.9168279|-77.0388202
110 IRVING ST NW|Washington, DC 20009|38.9294418|-77.0147304
1831 14TH ST NW|WASHINGTON, DC 20009|38.91505|-77.031809
901 MASSACHUSETTS AVE NW|WASHINGTON, DC 20001|38.903397|-77.024384
1117 V ST NW|WASHINGTON, DC 20009|38.91832|-77.027796
1720 14th ST|WASHINGTON, DC 20009|38.913329|-77.032403
2007 18TH ST NW|WASHINGTON, DC 20009|38.917398|-77.041309
2017 14TH ST NW|WASHINGTON, DC 20009|38.917637|-77.031583
1918 18TH ST NW|Washington, DC 20009|38.9162251|-77.041795
2433 18TH ST NW|Washington, DC 20009|38.9213912|-77.0419261
1889 F ST NW|Washington, DC 20009|38.8973619|-77.0428338
2212 14TH ST NW|Washington, DC 20009|38.919674|-77.032355
1344 U ST NW|Washington, DC 20009|38.9168748|-77.0312679
1315 W ST NW|WASHINGTON, DC 20009|38.919196|-77.0301654
1616 14TH ST NW|Washington, DC 20009|38.911768|-77.03226099999999
14 F ST NW|Washington, DC 20009|38.9114963|-77.031948
2429 18TH ST NW|Washington, DC 20009|38.9212977|-77.0418949
801 7TH ST NW|Washington, DC 20001|38.900034|-77.021563
1817 ADAMS MILL RD NW|Washington, DC 20009|38.923298|-77.042644
3712 MACOMB ST NW|WASHINGTON, DC 20009|38.9332939|-77.07312399999999
1701 CONNECTICUT AVE NW|Washington, DC 20009|38.91315790000001|-77.04514569999999
1306 G ST NW|Washington, DC 20005|38.8981748|-77.03027999999999
1610 14TH ST NW|Washington, DC 20009|38.911562|-77.0323703
1933 18TH ST NW|Washington, DC 20009|38.9165421|-77.0415196
1633 CONNECTICUT AVE NW|Washington, DC 20009|38.9121949|-77.044494
3064 MOUNT PLEASANT ST NW|WASHINGTON, DC 20009|38.928463|-77.03751600000001
1840 18TH ST NW|Washington, DC 20009|38.9153909|-77.041845
2307 18TH ST NW|Washington, DC 20009|38.9199561|-77.0414316
1835 18TH ST NW|Washington, DC 20009|38.915314|-77.04136
3047 15TH ST NW|WASHINGTON, DC 20009|38.928461|-77.03580199999999
1601 14TH ST NW|WASHINGTON, DC 20009|38.9112613|-77.0317799
2001 14TH ST NW|WASHINGTON, DC 20009|38.917177|-77.031583
1634 14TH ST NW|WASHINGTON, DC 20009|38.9124225|-77.03218180000002
1726 CONNECTICUT AVE NW|Washington, DC 20009|38.91345|-77.046065
1967 Calvert ST NW|WASHINGTON, DC 20009|38.9234035|-77.0467693
2200 CHAMPLAIN ST NW|Washington, DC 20009|38.91845|-77.040898
2124 14TH ST NW|Washington, DC 20009|38.91855109999999|-77.03196849999999
2007 14TH ST NW|WASHINGTON, DC 20009|38.917314|-77.031583
1784 FLORIDA AVE NW|Washington, DC 20009|38.916689|-77.041397
3203 MOUNT PLEASANT ST NW|Washington, DC 20009|38.9313019|-77.0382041
1825 14TH ST NW|WASHINGTON, DC 20009|38.914881|-77.03178
1901 14TH ST NW|WASHINGTON, DC 20009|38.915748|-77.031573
1944 14th ST NW|WASHINGTON, DC 20009|38.9167936|-77.03198739999999
1619 17TH ST NW|Washington, DC 20009|38.91198199999999|-77.038129
1939 12TH ST NW|WASHINGTON, DC 20009|38.916626|-77.02776999999999
1864 COLUMBIA RD NW|Washington, DC 20009|38.920749|-77.043564
7000 BLAIR RD NW|Washington, DC 20012|38.974979|-77.018868
2437 18TH ST NW|WASHINGTON, DC 20009|38.92148419999999|-77.0419576
2440 18TH ST NW|Washington, DC 20009|38.9216982|-77.0427117
1606 20TH ST NW|Washington, DC 20009|38.9115118|-77.0450537
