establishment_name,address,city,state_zip,yelp_id
BEN'S CHILI BOWL,1213 U ST NW,Washington, DC 20009,bens-chili-bowl-washington
BEST SUPERMARKET,1507 U ST NW,Washington, DC 20009,best-dc-supermarket-washington
BISTRO 18 (n) (s),2420 18TH ST NW,WASHINGTON, DC 20009,bardias-new-orleans-cafe-washington
UPTOWNER CAFE,3307 14TH ST NW,WASHINGTON, DC 20011,uptowner-cafe-washington-2
BISTRO DU COIN,1738 CONNETICUT AVE NW,WASHINGTON, DC 20009,bistro-bistro-washington-2
BISTRO LA BONNE (n),1340 U ST NW,Washington, DC 20009,bistro-la-bonne-washington
BLEND CAFE (n) (s),2118 18TH ST NW,WASHINGTON, DC 20009,pleasant-pops-farmhouse-market-and-cafe-washington
OMNI HOTEL MAIN KITCHEN/EMPLOYEE CAFE,2500 CALVERT ST NW,Washington, DC 20008,omni-shoreham-hotel-washington
BOHEMIAN CAVERNS (n),2001 11TH ST NW,Washington, DC 20009,liv-washington
18TH EXPRESS CONVENIENCE & PARTY SUPPLY,2335 18TH ST NW,Washington, DC 20009,meskerem-washington
BOURBON (n),2321 18TH ST NW,Washington, DC 20009,bourbon-washington-2
BUKOM CAFÉ (n),2442 18TH ST NW,Washington, DC 20009,el-chalán-nw-washington-2
BUCA DI BEPPO RESTAURANT,1825 CONNECTICUT AVE NW,Washington, DC 20009,buca-di-beppo-washington-4
LUCKY CORNER MARKET,5433 GEORGIA AVE NW,Washington, DC 20011,chocolate-crust-washington
BURGER KING,1771 Columbia RD NW,WASHINGTON, DC 20009,burger-king-washington-11
EL TOROGOZ RESTAURANT,4231 9TH ST NW,Washington, DC 20011,el-torogoz-washington
CAKE LOVE,1506 U ST NW,Washington, DC 20009,cakelove-washington
THE CHESAPEAKE ROOM,501 8th ST SE,WASHINGTON, DC 20003,teds-bulletin-washington
CAPITOL NEWSROOM,1803 CONNECTICUT AVE NW,Washington, DC 20009,newseum-washington
BERTUCCI 'S,2000 PENNSYLVANIA AVE NW,WASHINGTON, DC 20012,johnny-rockets-washington-4
GO HOPE MARKET,1429 GOOD HOPE RD SE,WASHINGTON, DC 20020,big-chair-coffee-and-grill-washington
CASHION'S EAT PLACE (n),1819 COLUMBIA RD NW,Washington, DC 20009,cashions-eat-place-washington
CAPITOL HILL TANDOOR & GRILL,419 8TH ST SE,Washington, DC 20003,capitol-hill-tandoor-and-grill-washington
CITY 2 CAFE,1917 18TH ST NW,Washington, DC 20009,city2cafe-washington
COSMO CAFÉ,600 MARYLAND AVE SW,Washington, DC 20024,cosmo-cafe-washington-2
CLUB TIMEHRI,2439 18th ST NW,WASHINGTON, DC 20009,timehri-international-washington
CITY LIGHTS OF CHINA RESTAURANT,1731 CONNECTICUT AVE NW,Washington, DC 20009,city-lights-of-china-washington
SUN'S GALLERY,600 MARYLAND AVE SW,Washington, DC 20024,l-enfant-plaza-metro-station-washington
COMPASS ROSE,1346 T ST NW,Washington, DC 20009,compass-rose-bar-and-kitchen-washington-3
SARA'S MARKET,3008 Q ST NW,Washington, DC 20007,saras-market-washington
COURTYARD BY MARRIOTT NW,1900 CONNECTICUT AVE NW,Washington, DC 20009,the-churchill-hotel-washington
PAL THE MEDITERRANEAN SPOT,1408 U ST NW,Washington, DC 20009,policy-washington
COSI,1647 20TH ST NW,Washington, DC 20009,cosi-washington-13
DC WINGS,204 MICHIGAN AVE NE,WASHINGTON, DC 20017,wings-over-washington-washington
ANDY'S CARRYOUT,5001 GEORGIA AVE NW,Washington, DC 20011,sakuramen-washington
CREME   (N),1322 U ST NW,Washington, DC 20009,bistro-la-bonne-washington
BUCK'S FISHING & CAMPING(n),5031 Connecticut AVE NW,WASHINGTON, DC 20007,comet-ping-pong-washington
CROWN CAFE,2409 18th ST NW,WASHINGTON, DC 20009,fast-gourmet-washington
DC BILINGUAL PUBLIC CHARTER SCHOOL,1420 COLUMBIA RD NW,WASHINGTON, DC 20009,breaux-vineyards-purcellville-2
HIGHLANDS,4706 14TH ST NW,Washington, DC 20011,highlands-washington-3
DIEGO RESTAURANT,2100 14TH ST NW,Washington, DC 20009,diego-washington
PAPA JOHN'S PIZZA,3827 PENNSYLVANIA AVE SE,Washington, DC 20020,papa-johns-pizza-washington-3
DESPERADOS PIZZA (n),1342 U ST NW,Washington, DC 20009,black-and-orange-washington-2
DONBURI,2438 18TH ST NW,Washington, DC 20009,donburi-washington
SUBWAY,3520 CONNECTICUT AVE NW,Washington, DC 20008,subway-washington-9
DOLCEZZA GELATO,1704 Connecticut AVE NW,WASHINGTON, DC 20009,dolcezza-artisanal-gelato-washington-6
DUPLEX DINER (n),2004 18th ST NW,WASHINGTON, DC 20009,duplex-diner-washington
CIVIL CIGAR LOUNGE (s),5335 WISCONSIN AVE NW,WASHINGTON, DC 20015,range-by-bryan-voltaggio-washington
PATTIES BP,6401 GEORGIA AVE NW,Washington, DC 20012,tryst-washington
EACH PEACH MARKET,3068 MOUNT PLEASANT ST NW,Washington, DC 20009,each-peach-market-washington
EL  GAVILAN,1646 COLUMBIA RD NW,Washington, DC 20009,el-gavilan-groceries-washington
PIZZERIA PARADISO,3282 M ST NW,Washington, DC 20007,pizzeria-paradiso-washington-2
FAST GOURMET,1400 W ST NW,WASHINGTON, DC 20009,fast-gourmet-washington
FIVE BELOW,3100 14TH ST NW,WASHINGTON, DC 20009,five-below-washington
HANS PEDR KAFFE & RESTAURANT,1781 FLORIDA AVE NW STE A,WASHINGTON, DC 20009,hans-pedr-kaffe-washington
FAA BUILDING SNACK BAR,800 INDEPENDENCE AVE SW,Washington, DC 20024,the-capital-grille-washington-2
FLIPPIN PIZZA,1745 CONNECTICUT AVE NW,Washington, DC 20009,flippin-pizza-washington-2
FRENCH BISTRO BISTRO B LOUNGE,1727 CONNECTICUT AVE NW,WASHINGTON, DC 20009,bistro-bistro-washington-2
ARCHIBALD'S/ FAST EDDIE'S BILLIARD CAFE,1520 K ST NW,Washington, DC 20005,fast-eddies-billiard-cafe-washington
GELATERIA DOLCE VITA,3050 K ST NW,Washington, DC 20009,gelateria-dolce-vita-washington
DC NOODLES,1412 U ST NW,Washington, DC 20009,dc-noodles-washington-6
SIBLEY PHARMACY,5215 LOUGHBORO RD NW,WASHINGTON, DC 20032,reiter-hill-johnson-and-nevin-chevy-chase
HALA KABOB,2120 18TH ST NW,Washington, DC 20009,rose-kabob-restaurant-vienna
HABANA VILLAGE (n),1834 COLUMBIA RD NW,Washington, DC 20009,cashions-eat-place-washington
HANOI HOUSE (n),2005 14TH ST,WASHINGTON, DC 20009,pho-14-washington
HAYDEES RESTAURANT,3102 MOUNT PLEASANT ST NW,Washington, DC 20009,haydees-restaurant-washington
THE MARKET PLACE,2100 2ND ST SW,WASHINGTON, DC 20024,cantina-marina-washington
Vendor-Andrei Miller-10722,15701 PROSPERITY DR,HAYMARKET, VA 20169,haymarket-day-haymarket
ALERO RESTAURANT,1301 U ST NW UNIT 113,Washington, DC 20009,alero-restaurant-washington-4
THE PIG (n),1320 14TH ST NW,Washington, DC 20005,the-pig-washington-2
HELLO CUPCAKE,1361 Connecticut AVE NW,WASHINGTON, DC 20009,hello-cupcake-washington-4
HIMALAYAN HERITAGE RESTAURANT(n),2305 18TH ST NW,WASHINGTON, DC 20009,himalayan-heritage-restaurant-washington
HIGH 1610,1610 14TH ST NW,Washington, DC 20009,stetsons-famous-bar-and-grill-washington
PINES OF FLORENCE RESTAURANT (n),2100 CONNECTICUT AVE NW,Washington, DC 20009,bistrot-du-coin-washington
HOME FOOD STORE,2216 18TH ST NW,Washington, DC 20009,home-food-store-washington
JACK ROSE DINING SALON (n),2007 18TH ST NW,WASHINGTON, DC 20009,sushi-taro-washington
SUBWAY SANDWICH SHOP,2001 14TH ST NW,WASHINGTON, DC 20009,lost-society-washington
BEUCHERT'S SALOON,623 PENNSYLVANIA AVE SE,WASHINGTON, DC 20003,beucherts-saloon-washington
ROCK CREEK GOLF COURSE,6100 16TH ST NW,Washington, DC 20011,rock-creek-golf-course-washington
JJ'S CHEESESTEAKS,1939 14TH ST NW,Washington, DC 20009,jjs-cheesesteaks-washington
JOLT N BOLT,1918 18TH ST NW,Washington, DC 20009,jolt-n-bolt-coffee-and-tea-house-washington-3
JUAN-VALDEZ CAF'E,1889 F ST NW,Washington, DC 20009,juan-valdez-cafe-washington
JUMBO SLICE PIZZA,1344 U ST NW,Washington, DC 20009,jumbo-pizza-washington-2
CAPITOL LOUNGE,231 PENNSYLVANIA AVE SE,Washington, DC 20003,sonoma-restaurant-and-wine-bar-washington
JULIA'S EMPANADAS,2452 18TH ST NW,Washington, DC 20009,julias-empanadas-washington-3
STANFORD UNIVERSITY,2661 CONNECTICUT AVE NW,Washington, DC 20008,simply-brilliant-washington
KEREN RESTAURANT,1780 FLORIDA AVE NW,Washington, DC 20009,keren-restaurant-washington
YES ORGANIC MARKET,1825 COLUMBIA RD NW,Washington, DC 20009,yes-natural-gourmet-washington
LA FOURCHETTE,2429 18TH ST NW,Washington, DC 20009,la-fourchette-washington
COLUMBIA STATION (n) (s),2325 18TH ST NW,Washington, DC 20009,amsterdam-falafelshop-washington-4
DOI MOI (n),1800 14TH ST NW,WASHINGTON, DC 20009,rice-washington
THE EPISCOPAL CENTER FOR CHILDREN,5901 UTAH AVE NW,Washington, DC 20015,washington-national-cathedral-washington
LA MOLIENDA RESTAURANT,3568 14TH ST NW,Washington, DC 20009,la-molienda-restaurant-washington
LA VILLA PIZZA & SUBS,1933 18TH ST NW,Washington, DC 20009,the-gibson-washington
EDDIE LEONARD'S,2103 Alabama AVE SE,WASHINGTON, DC 20020,eddie-leonard-carryout-washington-2
LENFANT CAFÉ AND BAR(n),2000 18TH ST NW,Washington, DC 20009,l-enfant-cafe-and-bar-washington-2
TACKLE BOX,3245 M ST NW,Washington, DC 20007,tackle-box-washington
SMOKE & BARREL (n),2471 18TH ST NW,Washington, DC 20009,smoke-and-barrel-washington
I THAI RESTAURANT & SUSHI BAR,3003 M ST NW,Washington, DC 20007,i-thai-restaurant-and-sushi-bar-washington-2
LITTLE FOUNTAIN CAFE (ANGLES BAR & BILLIARDS) (n),2339 18TH ST NW,Washington, DC 20009,angles-bar-and-billiards-washington-2
LUPO VERDE,1401 T ST NW,WASHINGTON, DC 20009,lupo-verde-washington
7 - ELEVEN,218 CEDAR ST NW,Washington, DC 20012,7-eleven-washington-16
LOUNGE OF THREE(n),1013 U ST NW,Washington, DC 20009,lounge-of-three-washington-3
MARIE REED LEARNING CENTER,2200 CHAMPLAIN ST NW,Washington, DC 20009,playground-at-marie-reed-learning-center-washington
JULIA'S EMPANADAS,6235 Georgia AVE NW,WASHINGTON, DC 20011,julias-empanadas-washington-4
MANNY & OLGA'S PIZZA,1841 14TH ST NW,Washington, DC 20009,manny-and-olgas-pizza-washington-5
MATCHBOX,1901 14TH ST NW,WASHINGTON, DC 20009,cafe-saint-ex-washington
HEARTH & SOUL,2309 18TH ST NW,WASHINGTON, DC 20011,cashions-eat-place-washington
ALERO RESTAURANT,3500 CONNECTICUT AVE NW,Washington, DC 20008,alero-restaurant-washington
SATAY CLUB ASIAN RESTAURANT,4654 WISCONSIN AVE NW,Washington, DC 20016,satay-club-washington
MCDONALD'S,1944 14th ST NW,WASHINGTON, DC 20009,mcdonalds-washington
MENCHIES,1939 12TH ST NW,WASHINGTON, DC 20009,menchies-frozen-yogurt-washington
DON JAIME'S  RESTAURANT (n),3209 Mount Pleasant ST NW,WASHINGTON, DC 20009,el-rinconcito-ii-washington
MELLOW MUSHROOM PIZZA BAKERS,2436 18TH ST NW,Washington, DC 20009,mellow-mushroom-washington
FIVE GUYS BURGERS & FRIES,1100 NEW JERSEY AVE SE,WASHINGTON, DC 20003,five-guys-burgers-and-fries-washington-3
TORTILLA COAST,1460 P ST NW,WASHINGTON, DC 20005,tortilla-coast-washington-2
JALEO,480 7TH ST NW,WASHINGTON, DC 20004,jaleo-washington
MIXTEC,1792 COLUMBIA RD NW,Washington, DC 20009,pasta-mia-washington
MEZE RESTAURANT & LOUNGE (n),2437 18TH ST NW,WASHINGTON, DC 20009,mezè-washington-2
RIS RESTAURANT,2275 L ST NW,WASHINGTON, DC 20037,ris-washington
MINT,1724 CALIFORNIA ST NW,WASHINGTON, DC 20009,mint-dupont-washington
MOURAYO,1738 CONNECTICUT AVE NW,Washington, DC 20009,mourayo-washington
THE SILVER SPORK,315 G ST SE,Washington, DC 20003,results-gym-washington
NATURAL MARKET,2400 14TH ST NW,Washington, DC 20009,streets-market-and-cafe-washington
NEAT IN A BOX PLUS DID SOMEONE SAY PIZZA,2005 18TH ST NW,Washington, DC 20009,jack-rose-dining-saloon-washington
NEW HAMPSHIRE MARKET,1900 16TH ST NW,Washington, DC 20009,new-hampshire-market-washington
O'TASTY,1764 COLUMBIA RD NW,Washington, DC 20009,o-tasty-washington
NEW TOWN KITCHEN/LOUNGE  (n),1336 U ST NW,Washington, DC 20009,new-town-kitchen-and-bar-washington
ODEON'S CAFÉ,1714 CONNECTICUT AVE NW,Washington, DC 20009,odeon-cafe-washington
MELLON CONVENIENCE STORE,2921 MARTIN LUTHER KING JR AVE SE,Washington, DC 20032,sonoma-restaurant-and-wine-bar-washington
MASAI MARA RESTAURANT,1200 KENNEDY ST NW,WASHINGTON, DC 20011,masai-mara-washington
OFFICE DEPOT,1875 CONNECTICUT AVE NW,Washington, DC 20009,office-depot-washington-5
PANAMERICANA GROCERY,3552 14TH ST NW,Washington, DC 20009,panamericana-grocery-washington
BENNING ROAD DOLLAR PLUS & FOOD STORE,4514 BENNING RD SE,Washington, DC 20019,megabus-washington
JIMMY T'S PLACE,501 EAST CAPITOL ST SE,Washington, DC 20003,jimmy-ts-place-washington-2
OYSTER-ADAMS ELEMENTARY SCHOOL,2020 19TH ST NW,WASHINGTON, DC 20009,chefs-best-dinner-and-auction-washington
EL TAMARINDO,1785 FLORIDA AVE NW,Washington, DC 20009,el-tamarindo-washington
PEKING EXPRESS,1338 U ST NW,Washington, DC 20009,peking-express-washington
PASTA MIA-N,1790 COLUMBIA RD NW,Washington, DC 20009,pasta-mia-washington
PATTY BOOM BOOM (n),1359 U ST NW,WASHINGTON, DC 20009,patty-boom-boom-washington
PEKING GARDEN,2008 18TH ST NW,Washington, DC 20009,peking-garden-washington
QUICK PITA,1210 POTOMAC ST NW,Washington, DC 20007,quick-pita-washington-3
PHO 14,1436 PARK RD NW,Washington, DC 20009,pho-14-washington
WASHINGTON MIDDLE SCHOOL FOR GIRLS,1604 MORRIS RD SE,WASHINGTON, DC 20020,trustys-full-serve-bar-washington
PURE NIGHT CLUB & LOUNGE (n) (s),1326 U ST NW,Washington, DC 20009,alero-restaurant-washington-4
DOLLAR STORE,800 Upshur ST NW,WASHINGTON, DC 20011,dollar-1-washington
TAQUERIA DISTRITO,805 Kennedy ST NW,WASHINGTON, DC 20011,taqueria-distrito-federal-2-washington
GEORGETOWN CUPCAKE,3301 M ST NW,Washington, DC 20007,georgetown-cupcake-washington
PIZZA BOLI,1511 U ST NW,WASHINGTON, DC 20009,pizza-bolis-washington-8
HERITAGE INDIA,1901 PENNSYLVANIA AVE NW,WASHINGTON, DC 20006,heritage-india-washington-3
THE NEXT STEP PCS,3047 15TH ST NW,WASHINGTON, DC 20009,tynan-coffee-and-tea-washington-2
AMBAR,523 8TH ST SE,Washington, DC 20003,ambar-washington
MCDONALD'S,1619 17TH ST NW,Washington, DC 20009,mcdonalds-washington-21
PIZZA CITY (n),2341 18TH ST NW,Washington, DC 20009,queens-cafe-and-hookah-washington
WHOLE FOODS MARKET,4530 40TH ST NW,Washington, DC 20016,whole-foods-market-washington-6
SEASONS CULINARY SERVICE,2300 N ST NW,WASHINGTON, DC 20037,blue-duck-tavern-washington
PLEASANT POPS,1724 CALIFORNIA ST NW,WASHINGTON, DC 20009,puree-artisan-juice-bar-washington
NUMBER NINE (n),1435 P ST NW,Washington, DC 20005,stoneys-bar-and-grill-washington
LOT 38 ESPRESSO BAR,1001 2ND ST SE,WASHINGTON, DC 20003,lot-38-espresso-bar-washington
POLICY (n),1904 14TH ST NW,Washington, DC 20009,policy-washington
METRO VARIETY SHOP,1400 I ST NW,Washington, DC 20005,utrecht-art-supplies-washington
POTBELLY SANDWICH,1635 CONNECTICUT AVE NW,Washington, DC 20009,potbelly-sandwich-shop-washington-15
RAKU-AN ASIAN DINER,1900 Q ST NW,Washington, DC 20009,kramerbooks-and-afterwords-cafe-washington
MCDONALD'S,601 INDEPENDENCE AVE SW,WASHINGTON, DC 20008,mcdonalds-washington-29
RUMBA CAFE,2443 18th ST NW,Washington, DC 20009,pizza-mart-washington
COMBINATION RESTAURANT,1772 COLUMBIA RD NW,Washington, DC 20009,pho-14-washington-4
RICE RESTAURANT & BAR,1608 14TH ST NW,Washington, DC 20009,rice-washington
Andy's Carryout,209 NEW YORK AVE NW,Washington, DC 20016,andys-carry-out-washington-2
RENDEZVOUS RESTAURANT (n) (s),2226 18TH ST NW,Washington, DC 20009,tryst-washington
ANGELICO PIZZERIA,4529 WISCONSIN AVE NW,Washington, DC 20016,angelico-pizzeria-and-cafe-washington
CASA FIESTA II,4910 WISCONSIN AVE NW,Washington, DC 20016,super-tacos-and-bakery-washington
DOMINO'S PIZZA,4013 SOUTH CAPITOL ST SW,Washington, DC 20032,dominos-pizza-washington-28
SALA THAI,1301 U ST NW,Washington, DC 20009,sala-thai-washington-2
CAUCUS ROOM BRASSERIE (BOVEDA),2350 M ST NW,Washington, DC 20037,the-caucus-room-brasserie-washington
DEPOT - WASHINGTON FOOD VENDING (d),1323 E ST SE,Washington, DC 20003,union-station-washington
POTBELLY SANDWICH,1701 PENNSYLVANIA AVE NW,Washington, DC 20006,potbelly-sandwich-shop-washington-13
PAPER MOON,1073 31ST ST NW,Washington, DC 20007,paper-moon-washington-2
SERVICE CENTER CAFETERIA,2244 10TH ST NW,Washington, DC 20009,the-blind-dog-cafe-washington
LIL GT CAFE,5327 Georgia AVE NW,WASHINGTON, DC 20011,lil-gt-cafe-washington
COFFEE NATURE,4224 FESSENDEN ST NW,Washington, DC 20016,coffee-nature-washington
CHICKEN OUT Rotisserie,4866 MASSACHUSETTS AVE NW,Washington, DC 20016,crisp-and-juicy-washington
LE DIPLOMATE,1601 14TH ST NW,WASHINGTON, DC 20009,le-diplomate-washington
DC BOAT HOUSE,5441 MACARTHUR BLVD NW,Washington, DC 20016,decarlos-restaurant-washington
DOENER BISTRO,1654 COLUMBIA RD NW,Washington, DC 20009,döner-bistro-washington
EINSTEIN BAGEL BROS.,3520 PROSPECT ST NW,WASHINGTON, DC 20007,einstein-bros-bagels-washington-5
BRUEGGER'S BAGELS,2334 WISCONSIN AVE NW,WASHINGTON, DC 20007,brueggers-bagels-washington-4
DE CARLO'S RESTAURANT,4822 YUMA ST NW,Washington, DC 20016,tara-thai-washington
DISTRICT 2 BAR AND GRILLE(N),3238 WISCONSIN AVE NW,Washington, DC 20016,cactus-cantina-washington
DOMINO'S PIZZA,4539 WISCONSIN AVE NW,Washington, DC 20016,dominos-pizza-washington-25
MART LIQUORS,2931 MARTIN LUTHER KING JR AVE SE,Washington, DC 20032,mart-liquors-ltd-washington
HOT & JUICY CRAWFISH,2651 CONNECTICUT AVE NW,Washington, DC 20008,hot-n-juicy-crawfish-washington
EUR ASIAN HOTPOT NOODLES,4445 WISCONSIN AVE NW,Washington, DC 20016,eur-asian-washington
FANNIE MAE CAFETERIA,4000 WISCONSIN AVE NW,Washington, DC 20016,cafe-olé-washington-2
SHAKE SHACK,1216 18TH ST NW,Washington, DC 20009,shake-shack-washington
BOSSA (n),2463 18TH ST NW,Washington, DC 20009,bossa-washington
DEVON & BLAKELY,2200 PENNSYLVANIA AVE NW,WASHINGTON, DC 20037,devon-and-blakely-washington-5
SHENANIGAN'S,2450 18TH ST NW,Washington, DC 20009,shenanigans-irish-pub-washington
SUNOCO,2450 WISCONSIN AVE NW,Washington, DC 20007,georgetown-shell-washington
SMOOTHIE KING,2438 18TH ST NW,Washington, DC 20009,smoothie-king-washington-4
LOEHMAN'S,5333 WISCONSIN AVE NW,Washington, DC 20015,loehmanns-washington-2
EATONVILLE RESTAURANT,2121 14TH ST NW,Washington, DC 20009,busboys-and-poets-washington-2
STAR PIZZA,3222 PENNSYLVANIA AVE SE,Washington, DC 20020,americas-best-wings-washington-2
HIGH ROAD MIDDLE ACADEMY,6135 KANSAS AVE NE,WASHINGTON, DC 20011,afi-silver-theatre-and-cultural-center-silver-spring
DISTRICT TACO,656 PENNSYLVANIA AVE SE,WASHINGTON, DC 20003,district-taco-washington-2
SOUSSI (n) (s),2228 18TH ST NW,Washington, DC 20009,soussi-restaurant-washington
HELLO CUPCAKE,705 8TH ST SE,WASHINGTON, DC 20003,hello-cupcake-washington-8
CASA BLANCA RESTAURANT,1014 VERMONT AVE NW,Washington, DC 20005,casa-blanca-restaurant-washington
POTBELLY SANDWICH,616 23RD ST NW,Washington, DC 20037,potbelly-sandwich-works-washington-12
HOLIDAY-INN GEORGETOWN,2101 WISCONSIN AVE NW,Washington, DC 20006,holiday-inn-georgetown-magical-events-washington
ZEKE SPORTS CAFE,7711 GEORGIA AVE,WASHINGTON, DC 20012,zeke-sport-cafe-washington
LILLIES RESTAURANT AND BAR,2915 CONNECTICUT AVE NW,WASHINGTON, DC 20008,lillies-restaurant-and-bar-washington
JIN LOUNGE (n),2017 14TH ST NW,WASHINGTON, DC 20009,busboys-and-poets-washington-2
NAPOLEON'S (n),1847 COLUMBIA RD NW,Washington, DC 20009,mintwood-place-washington
ETTO RESTAURANT,1541 14TH ST NW,WASHINGTON, DC 20005,etto-washington
LENA MARKET,1206 UNDERWOOD ST NW,Washington, DC 20012,washington-sports-club-washington-12
CAPITOL SKYLINE HOTEL GIFT SHOP,10 I ST SW,WASHINGTON, DC 20024,capitol-skyline-hotel-washington
STARBUCKS,1455 K ST NW,Washington, DC 20005,starbucks-washington-15
CAPITOL SKYLINE HOTEL,10 I ST SW,WASHINGTON, DC 20024,capitol-skyline-hotel-washington
CASEY'S COFFEE,355 E ST SW,WASHINGTON, DC 20024,caseys-coffee-and-sandwiches-washington
CARROLLSBURG CONDOMINIUM,1250 4TH ST SW,WASHINGTON, DC 20024,carrollsburg-condominium-washington
ELDORADO BREAD RESTAURANT,6209 GEORGIA AVE NW,Washington, DC 20011,paper-moon-washington-2
CASEY'S GIFT SHOP,550 C ST SW,Washington, DC 20024,caseys-washington
KRAMER MIDDLE SCHOOL,1700 Q ST SE,WASHINGTON, DC 20020,teds-bulletin-washington
CVS/PHARMACY,508 C ST SW,WASHINGTON, DC 20024,cvs-pharmacy-washington-63
THE CASTLE CAFE(public),1000 JEFFERSON DR SW,WASHINGTON, DC 20560,the-smithsonian-institution-washington
EXXON,2150 M ST NW,Washington, DC 20037,sunoco-washington
JAVA HOUSE,1645 Q ST NW,Washington, DC 20009,java-house-washington
CUSTOM FUEL,1747 PENNSYLVANIA AVE NW,WASHINGTON, DC 20006,custom-fuel-pizza-washington
JUDY RESTAURANT,2212 14TH ST NW,Washington, DC 20009,restaurant-judy-washington
CVS/PHARMACY,1201 MARYLAND AVE SW,WASHINGTON, DC 20024,cvs-pharmacy-washington-81
CLYDE'S OF GEORGETOWN,3236 M ST NW,Washington, DC 20007,clydes-washington
LAPIDUS RESTAURANT - Capitol Skyline Hotel,10 I ST SW,WASHINGTON, DC 20024,capitol-skyline-hotel-washington
DEPT OF EDUCATION,550 12TH ST SW,WASHINGTON, DC 20024,united-states-holocaust-memorial-museum-washington
DEPT OF EDUCATION  CAFETERIA,400 MARYLAND AVE SW,Washington, DC 20024,us-department-of-education-washington
DEPT OF HOMELAND SECURITY,500 12TH ST SW,Washington, DC 20024,tonic-at-quigleys-bar-and-restaurant-washington-2
FROZEN YOGURT INDULGENCE,470 L'ENFANT PLZ SW,Washington, DC 20024,l-enfant-plaza-la-promenade-washington
GOLD'S GYM,409 3RD ST SW,Washington, DC 20024,golds-gym-washington
EAT & JOY,1204 34TH ST NW,WASHINGTON, DC 20007,eat-and-joy-washington
GRAND DELI & CAFE,300 E ST SW,Washington, DC 20024,grand-deli-and-cafe-washington
PIZZA AUTENTICA,2121 K ST NW,WASHINGTON, DC 20037,dc-slices-washington
CHIPOTLE,2600 CONNECTICUT AVE NW,Washington, DC 20008,chipotle-mexican-grill-washington-4
JENNY'S,1000 WATER ST SW,Washington, DC 20024,jennys-asian-fusion-washington
HIGH ROAD MIDDLE SCHOOL,1530 1ST ST SW,WASHINGTON, DC 20024,nationals-park-washington
TED'S BULLENTIN 14TH STREET,1818 14TH ST NW,WASHINGTON, DC 20009,teds-bulletin-washington
SUR LA PLACE,5105 MACARTHUR BLVD NW,Washington, DC 20016,sur-la-place-washington
JESSIE TAYLOR SEAFOOD - 7,1100 MAINE AVE SW,Washington, DC 20024,jimmys-grill-washington
STARBUCKS,1301 PENNSYLVANIA AVE NW,WASHINGTON, DC 20004,starbucks-washington-24
JESSIE TAYLOR SEAFOOD - 6,1100 MAINE AVE SW,Washington, DC 20024,jessie-taylor-seafood-washington
EASTERN CARRYOUT,1784 FLORIDA AVE NW,Washington, DC 20009,eastern-carryout-washington-4
CRISP AND JUICY,4533 WISCONSIN AVE NW,Washington, DC 20016,crisp-and-juicy-washington
MANDARIN ORIENTAL CITYZEN (n),1330 MARYLAND AVE SW,Washington, DC 20024,souwester-washington-2
THE MARKET OF COLUMBIA PLAZA,516 23RD ST NW,Washington, DC 20037,the-market-at-columbia-plaza-washington
REHABILITATION SERVICES ADMINISTRATION,475 L'ENFANT PLZ SW,Washington, DC 20024,professional-sports-care-and-rehab-plc-washington-2
MANDARINS ORIENTAL HOTEL / BANQUET,1330 MARYLAND AVE SW,Washington, DC 20024,mandarin-oriental-washington-dc-washington-2
KING ELEMENTARY SCHOOL,3200 6TH ST SE,WASHINGTON, DC 20032,washington-nationals-baseball-club-washington
MANDARINS ORIENTAL/TAKE A BREAK-MAIN KITCHEN,1330 MARYLAND AVE SW,Washington, DC 20024,muze-east-west-kitchen-washington
ROYAL PALACE  (n),1805 CONNECTICUT ST NW,Washington, DC 20009,royal-palace-washington
PAUL BAKERY,801 PENNSYLVANIA AVE NW APT 1010,Washington, DC 20004,paul-bakery-and-café-washington-2
MOE'S SOUTHWEST GRILL,470 L'ENFANT PLZ SW,Washington, DC 20024,moes-southwest-grill-washington
HARD ROCK CAFÉ,999 E ST NW,Washington, DC 20004,hard-rock-cafe-washington
Metro Barber & Beauty,625 D ST SW,WASHINGTON, DC 20024,metro-barber-stylists-washington
14TH STREET DELI,1300 PENNSYLVANIA AVE NW,WASHINGTON, DC 20004,14th-street-deli-washington
OLYMPIC ESPRESSO,475 L'ENFANT PLZ SW,Washington, DC 20024,l-enfant-plaza-la-promenade-washington
MOTOR YACHT FINISHED BUSINESS,1300 MAINE AVE SW,WASHINGTON, DC 20024,euro-motorcars-bethesda-bethesda-5
JESSIE TAYLOR SEAFOOD - 9,1100 MAINE AVE SW,Washington, DC 20024,maine-avenue-fish-market-washington
PHILLIPS FLAGSHIP OF WASHINGTON,900 WATER ST SW,Washington, DC 20024,phillips-flagship-washington-2
PRUITT SEAFOOD,1100 MAINE AVE SW,Washington, DC 20024,pruitts-seafood-washington
PIZZA AUTENTICA,300 7TH ST SW,Washington, DC 20024,pizza-autentica-washington
ROSA MEXICANO,5225 WISCONSIN AVE NW,Washington, DC 20015,rosa-mexicano-washington-4
QUIZNOS,409 3RD ST SW,Washington, DC 20024,potbelly-sandwich-shop-washington-22
7- ELEVEN,912 NEW HAMPSHIRE AVE NW,Washington, DC 20037,7-eleven-washington-11
ROTI MEDITERRANEAN GRILL,420 10TH ST SW,WASHINGTON, DC 20024,roti-mediterranean-grill-washington-2
